t,devId,seq,ax,ay,az,gx,gy,gz,mx,my,mz
1687744.204849,3954085724,2279,-0.29150390625,0.4833984375,-1.01611328125,9.70458984375,24.0478515625,27.77099609375,-0.12588275969028473,0.1862424612045288,-0.282094806432724
1687744.204849,3954085724,2280,-0.18408203125,0.29638671875,-1.0107421875,-51.57470703125,5.55419921875,19.34814453125,-0.12588275969028473,0.17651434242725372,-0.2965420186519623
1687744.204849,3954085724,2282,-0.083984375,0.10009765625,-0.9228515625,-29.84619140625,4.39453125,25.634765625,-0.1310308426618576,0.1713942587375641,-0.2885711193084717
1687744.204849,3954085724,2283,-0.109375,0.03369140625,-0.86083984375,-20.3857421875,10.19287109375,36.376953125,-0.13054054975509644,0.16755421459674835,-0.2943001985549927
1687744.315623,3954085724,2284,-0.06494140625,0.02490234375,-0.89501953125,-12.75634765625,19.8974609375,32.5927734375,-0.13078568875789642,0.15552206337451935,-0.2923074960708618
1687744.315623,3954085724,2285,-0.0537109375,0.07470703125,-0.9375,-11.77978515625,23.681640625,21.30126953125,-0.1374046504497528,0.15757009387016296,-0.2925565838813782
1687744.315623,3954085724,2286,-0.14697265625,0.1416015625,-0.92919921875,5.4931640625,21.54541015625,11.29150390625,-0.1391206681728363,0.15577805042266846,-0.2873256802558899
1687744.315623,3954085724,2287,-0.1982421875,0.19775390625,-1.013671875,43.15185546875,30.45654296875,32.2265625,-0.1469653695821762,0.1611541360616684,-0.28882020711898804
1687744.315623,3954085724,2288,-0.12548828125,0.1923828125,-1.0595703125,134.94873046875,31.67724609375,62.68310546875,-0.15064257383346558,0.1719062775373459,-0.2895675003528595
1687744.315623,3954085724,2289,-0.30224609375,0.5908203125,-1.1171875,62.56103515625,23.0712890625,62.3779296875,-0.15775181353092194,0.17881837487220764,-0.2731275260448456
1687744.424442,3954085724,2290,-0.2861328125,0.47998046875,-0.859375,-64.75830078125,8.85009765625,32.04345703125,-0.16265474259853363,0.16678620874881744,-0.27611660957336426
1687744.424442,3954085724,2291,-0.17578125,0.248046875,-0.85595703125,-125.48828125,-20.56884765625,2.5634765625,-0.16216444969177246,0.15270602703094482,-0.3032674491405487
1687744.424442,3954085724,2292,-0.0888671875,-0.0029296875,-0.83251953125,-121.9482421875,-36.92626953125,7.080078125,-0.14770080149173737,0.14323389530181885,-0.2992819845676422
1687744.424442,3954085724,2293,-0.14697265625,-0.1279296875,-0.69140625,-88.31787109375,-17.7001953125,15.80810546875,-0.1503974199295044,0.1263376623392105,-0.30177292227745056
1687744.424442,3954085724,2294,-0.11181640625,-0.18408203125,-0.5888671875,-50.29296875,-28.13720703125,15.93017578125,-0.15235859155654907,0.11814555525779724,-0.29778748750686646
1687744.533811,3954085724,2295,-0.00732421875,-0.13232421875,-0.69287109375,-40.95458984375,-34.48486328125,7.75146484375,-0.14524933695793152,0.12147360295057297,-0.3274292051792145
1687744.533811,3954085724,2296,0.0078125,-0.1376953125,-0.7900390625,-41.50390625,-56.45751953125,20.08056640625,-0.1376497894525528,0.11097747087478638,-0.3214510679244995
1687744.533811,3954085724,2297,0.0048828125,-0.1396484375,-0.85546875,-24.4140625,-55.60302734375,28.86962890625,-0.13642406463623047,0.102017343044281,-0.31771472096443176
1687744.533811,3954085724,2299,0.01708984375,-0.08251953125,-0.9951171875,0.54931640625,-51.33056640625,21.8505859375,-0.11583175510168076,0.1009933352470398,-0.3276783227920532
1687744.643557,3954085724,2300,0.04248046875,-0.14306640625,-1.09326171875,72.1435546875,20.751953125,23.49853515625,-0.1263730525970459,0.1130254939198494,-0.32543647289276123
1687744.643557,3954085724,2301,-0.0791015625,-0.087890625,-0.9541015625,80.078125,39.55078125,31.494140625,-0.13054054975509644,0.1271056830883026,-0.3219492435455322
1687744.643557,3954085724,2302,-0.107421875,0.00244140625,-1.0078125,-21.6064453125,44.86083984375,5.55419921875,-0.1374046504497528,0.12121760100126266,-0.31397831439971924
1687744.643557,3954085724,2303,-0.15380859375,-0.17431640625,-0.92431640625,-16.90673828125,49.1943359375,-15.380859375,-0.1437784731388092,0.11200147867202759,-0.3159710466861725
1687744.643557,3954085724,2304,-0.19775390625,-0.0927734375,-0.88525390625,62.8662109375,17.15087890625,-31.06689453125,-0.1423075795173645,0.11916957050561905,-0.31497469544410706
1687744.643557,3954085724,2305,-0.2900390625,0.125,-0.98583984375,153.4423828125,1.28173828125,-28.4423828125,-0.14770080149173737,0.1368338018655777,-0.3080001771450043
1687744.752192,3954085724,2306,-0.13232421875,0.27783203125,-1.08837890625,136.474609375,27.77099609375,-15.31982421875,-0.14966198801994324,0.15629006922245026,-0.2890693247318268
1687744.752192,3954085724,2307,0.0029296875,0.1533203125,-1.03369140625,115.8447265625,21.42333984375,-68.2373046875,-0.15235859155654907,0.1713942587375641,-0.29679110646247864
